Complete Name,Location Name,Parent Location,Location Type,Is a Scrap Location,Is a Return Location,Barcode
Stock/Large Items / Machines/C-42,C-42 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-42
Stock/Large Items / Machines/C-43,C-43 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-43
Stock/Large Items / Machines/C-44,C-44 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-44
Stock/Large Items / Machines/C-45,C-45 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-45
Stock/Large Items / Machines/C-46,C-46 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-46
Stock/Large Items / Machines/C-47,C-47 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-47
Stock/Large Items / Machines/C-48,C-48 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-48
Stock/Large Items / Machines/C-49,C-49 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-49
Stock/Large Items / Machines/C-50,C-50 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-50
Stock/Large Items / Machines/C-51,C-51 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-51
Stock/Large Items / Machines/C-52,C-52 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-52
Stock/Large Items / Machines/C-53,C-53 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-53
Stock/Large Items / Machines/C-54,C-54 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-54
Stock/Large Items / Machines/C-55,C-55 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-55
Stock/Large Items / Machines/C-56,C-56 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-56
Stock/Large Items / Machines/C-57,C-57 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-57
Stock/Large Items / Machines/C-58,C-58 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-58
Stock/Large Items / Machines/C-59,C-59 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-59
Stock/Large Items / Machines/C-60,C-60 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-60
Stock/Large Items / Machines/C-61,C-61 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-61
Stock/Large Items / Machines/C-62,C-62 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-62
Stock/Large Items / Machines/C-63,C-63 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-63
Stock/Large Items / Machines/C-64,C-64 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-64
Stock/Large Items / Machines/C-65,C-65 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-65
Stock/Large Items / Machines/C-66,C-66 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-66
Stock/Large Items / Machines/C-67,C-67 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-67
Stock/Large Items / Machines/C-68,C-68 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-68
Stock/Large Items / Machines/C-69,C-69 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-69
Stock/Large Items / Machines/C-70,C-70 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-70
Stock/Large Items / Machines/C-71,C-71 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-71
Stock/Large Items / Machines/C-72,C-72 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-72
Stock/Large Items / Machines/C-73,C-73 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-73
Stock/Large Items / Machines/C-74,C-74 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-74
Stock/Large Items / Machines/C-75,C-75 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-75
Stock/Large Items / Machines/C-76,C-76 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-76
Stock/Large Items / Machines/C-77,C-77 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-77
Stock/Large Items / Machines/C-78,C-78 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-78
Stock/Large Items / Machines/C-79,C-79 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-79
Stock/Large Items / Machines/C-80,C-80 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-80
Stock/Large Items / Machines/C-81,C-81 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-81
Stock/Large Items / Machines/C-82,C-82 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-82
Stock/Large Items / Machines/C-83,C-83 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-83
Stock/Large Items / Machines/C-84,C-84 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-84
Stock/Large Items / Machines/C-85,C-85 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-85
Stock/Large Items / Machines/C-86,C-86 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-86
Stock/Large Items / Machines/C-87,C-87 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-87
Stock/Large Items / Machines/C-88,C-88 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-88
Stock/Large Items / Machines/C-89,C-89 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-89
Stock/Large Items / Machines/C-90,C-90 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-90
Stock/Large Items / Machines/C-91,C-91 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-91
Stock/Large Items / Machines/C-92,C-92 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-92
Stock/Large Items / Machines/C-93,C-93 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-93
Stock/Large Items / Machines/C-94,C-94 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-94
Stock/Large Items / Machines/C-95,C-95 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-95
Stock/Large Items / Machines/C-96,C-96 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-96
Stock/Large Items / Machines/C-97,C-97 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-97
Stock/Large Items / Machines/C-98,C-98 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-98
Stock/Large Items / Machines/C-99,C-99 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-99
