Complete Name,Location Name,Parent Location,Location Type,Is a Scrap Location,Is a Return Location,Barcode
Stock/Large Items / Machines/C-109,C-109 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-109
Stock/Large Items / Machines/C-11,"C-11 (Mesin Jahit / Sewing Machine, )",Large Items / Machines,Internal,FALSE,FALSE,LOC-C-11
Stock/Large Items / Machines/C-110,C-110 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-110
Stock/Large Items / Machines/C-111,C-111 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-111
Stock/Large Items / Machines/C-112,C-112 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-112
Stock/Large Items / Machines/C-113,C-113 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-113
Stock/Large Items / Machines/C-114,C-114 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-114
Stock/Large Items / Machines/C-115,C-115 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-115
Stock/Large Items / Machines/C-116,C-116 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-116
Stock/Large Items / Machines/C-117,C-117 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-117
Stock/Large Items / Machines/C-118,C-118 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-118
Stock/Large Items / Machines/C-119,C-119 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-119
Stock/Large Items / Machines/C-12,"C-12 (Mesin Jahit / Sewing Machine, )",Large Items / Machines,Internal,FALSE,FALSE,LOC-C-12
Stock/Large Items / Machines/C-120,C-120 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-120
Stock/Large Items / Machines/C-121,C-121 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-121
Stock/Large Items / Machines/C-122,C-122 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-122
Stock/Large Items / Machines/C-123,C-123 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-123
Stock/Large Items / Machines/C-124,C-124 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-124
Stock/Large Items / Machines/C-125,C-125 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-125
Stock/Large Items / Machines/C-126,C-126 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-126
Stock/Large Items / Machines/C-127,C-127 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-127
Stock/Large Items / Machines/C-128,C-128 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-128
Stock/Large Items / Machines/C-129,C-129 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-129
Stock/Large Items / Machines/C-13,"C-13 (Mesin Jahit / Sewing Machine, )",Large Items / Machines,Internal,FALSE,FALSE,LOC-C-13
Stock/Large Items / Machines/C-130,C-130 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-130
Stock/Large Items / Machines/C-131,C-131 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-131
Stock/Large Items / Machines/C-132,C-132 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-132
Stock/Large Items / Machines/C-133,C-133 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-133
Stock/Large Items / Machines/C-134,C-134 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-134
Stock/Large Items / Machines/C-135,C-135 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-135
Stock/Large Items / Machines/C-136,C-136 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-136
Stock/Large Items / Machines/C-137,C-137 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-137
Stock/Large Items / Machines/C-138,C-138 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-138
Stock/Large Items / Machines/C-139,C-139 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-139
Stock/Large Items / Machines/C-14,"C-14 (Mesin Jahit / Sewing Machine, )",Large Items / Machines,Internal,FALSE,FALSE,LOC-C-14
Stock/Large Items / Machines/C-140,C-140 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-140
Stock/Large Items / Machines/C-141,C-141 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-141
Stock/Large Items / Machines/C-142,C-142 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-142
Stock/Large Items / Machines/C-143,C-143 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-143
Stock/Large Items / Machines/C-144,C-144 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-144
Stock/Large Items / Machines/C-145,C-145 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-145
Stock/Large Items / Machines/C-146,C-146 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-146
Stock/Large Items / Machines/C-147,C-147 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-147
Stock/Large Items / Machines/C-148,C-148 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-148
Stock/Large Items / Machines/C-149,C-149 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-149
Stock/Large Items / Machines/C-15,"C-15 (Mesin Jahit / Sewing Machine, )",Large Items / Machines,Internal,FALSE,FALSE,LOC-C-15
Stock/Large Items / Machines/C-150,C-150 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-150
Stock/Large Items / Machines/C-151,C-151 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-151
Stock/Large Items / Machines/C-152,C-152 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-152
Stock/Large Items / Machines/C-153,C-153 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-153
Stock/Large Items / Machines/C-154,C-154 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-154
Stock/Large Items / Machines/C-155,C-155 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-155
Stock/Large Items / Machines/C-156,C-156 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-156
Stock/Large Items / Machines/C-157,C-157 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-157
Stock/Large Items / Machines/C-158,C-158 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-158
